doi,title,abstract,categories,publishedDate,suppItems,assetLink
10.26434/chemrxiv-2025-pcq8d-v2,Revolutionizing Scientific Figure Decoding: Benchmarking LLM Data Extraction Performance,"Large Language Models have demonstrated impressive capabilities in natural language understanding and processing. However, as AI and LLMs continue to evolve, their ability to accurately and efficiently interpret data from scientific figures and plots remains obscure. In this study, we test and evaluate the ability of state-of-the-art large language models (LLMs) in analyzing and extracting information from scientific figures commonly found in materials science literature, including stress-strain curves, heatmaps, 3D plots, contour plots, and other visual representations. We utilize a benchmark dataset comprising figures derived from several published works to evaluate the model's performance in quantitative material property extraction. Preliminary results highlight both the potential and current limitations of LLMs in handling visual scientific content, pointing toward future opportunities for AI-assisted data extraction in materials informatics.",Theoretical and Computational Chemistry; Materials Science; Machine Learning; Artificial Intelligence,2025-10-24T07:41:23.047Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f8560daec32c65685fd48b/original/revolutionizing-scientific-figure-decoding-benchmarking-llm-data-extraction-performance.pdf
10.26434/chemrxiv-2025-64fcb-v2,Deep Learning vs Classical Methods in Potency & ADME Prediction: Insights from a Computational Blind Challenge,"Reliable prediction of compound potency and ADME profile is crucial in drug discovery.  With the recent surge of AI and deep learning frameworks, it remains unclear whether these modern techniques offer statistically significant improvement over the well-established classical methods. The 2025 ASAP-Polaris-OpenADMET Antiviral Challenge provided a unique benchmarking opportunity to address this question, joined by over 65 teams of computational scientists worldwide. Our submissions were among the top performers in terms of Pearson r correlation, ranked first in pIC50 prediction for SARS-CoV-2 Mpro and fourth in aggregated ADME.  In this work, we present a retrospective analysis of our modeling strategies and highlight our lessons learned. Through rigorous statistical benchmarking, we demonstrate that while classical methods remain highly competitive for predicting potency, modern deep learning algorithms significantly outperformed traditional machine learning in ADME prediction. We also illustrate the importance of appropriate data curation and the benefits of leveraging public datasets via feature augmentation. Finally, we outline current limitations and identify future opportunities, including the integration of structure-guided modeling. Overall, these results not only provide practical guidance for building robust predictive models but also offer valuable insights in the field of computational drug discovery.",Theoretical and Computational Chemistry; Biological and Medicinal Chemistry; Computational Chemistry and Modeling; Machine Learning; Artificial Intelligence,2025-10-22T09:29:44.236Z,"[{'title': 'Supporting Information', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f666e43e6156d3be004717/original/supporting-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f6664c3e6156d3be003c86/original/deep-learning-vs-classical-methods-in-potency-adme-prediction-insights-from-a-computational-blind-challenge.pdf
10.26434/chemrxiv-2025-003lg-v4,Deep Residual Learning for Molecular Force Fields,"Accurate interatomic interaction modeling via force fields is critical for biological studies and drug discovery, but balancing accuracy and generalizability remains challenging. We introduce ResFF (Residual Learning Force Field), a hybrid machine learning force field that employs deep residual learning to integrate physics-based learnable molecular mechanics covalent terms with residual corrections from a lightweight equivariant neural network. Through a three-stage joint optimization, the two components are trained in a complementary manner to achieve optimal performance. Benchmarks show ResFF outperforms classical and neural network force fields in generalization (mean absolute error (MAE): 1.16 kcal/mol on Gen2-Opt, 0.90 kcal/mol on DES370K), torsional profiles (MAE: 0.45/0.48 kcal/mol on TorsionNet-500 and Torison Scan), and intermolecular interactions (MAE: 0.32 kcal/mol on S66×8). It also enables precise energy minima reproduction and stable molecular dynamics of biological systems. ResFF merges physical constraints with neural expressiveness, offering a robust tool for accurate and efficient molecular simulation.",Theoretical and Computational Chemistry; Computational Chemistry and Modeling; Machine Learning; Artificial Intelligence,2025-10-22T08:47:57.557Z,"[{'title': 'Supporting Information of ResFF', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f04cb3bc2ac3a0e03449d6/original/supporting-information-of-res-ff.pdf'}, {'title': 'Evaluation of Neural Network Force Fields in Molecular Simulation', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f04cfcbc2ac3a0e034505e/original/evaluation-of-neural-network-force-fields-in-molecular-simulation.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f04cb3bc2ac3a0e03449c3/original/deep-residual-learning-for-molecular-force-fields.pdf
10.26434/chemrxiv-2025-xr8r3,CurvePotGCN- A graph neural network to predict protein-protein interactions using surface curvature and electrostatic potential as node-features,"Conventional methods for predicting protein-protein interactions (PPIs) often depend on intricate amino
 acid-level data obtained from both sequences and structures. Although effective, such methods typically require high-definition information and considerable computational power. Here, we present CurvePotGCN, an innovative graph convolutional neural network that predicts PPIs through a simplified physicochemical model of protein
 surfaces. Our approach represents proteins as graphs wherein nodes symbolize surface clusters defined by geometric curvature and electrostatic potential, focusing exclusively on these fundamental physicochemical features rather than evolutionary conservation or complex machine learning representations. This model is built on the principle that complementary shape and electrostatic potential at the protein-protein interface are primary determinants of whether two proteins interact. CurvePotGCN achieved a predictive performance of 98% area under the receiver operating characteristic curve for human PPI and 89% for yeast PPI. Upon benchmarking, CurvePotGCN showed superior performance against contemporary methods, highlighting the effectiveness of using reduced, physicochemically based models for PPI prediction. Our study demonstrates that using biophysical properties as features can provide competitive performance to more complex representation schemes, enhancing computational efficiency while maintaining predictive accuracy.",Theoretical and Computational Chemistry; Biological and Medicinal Chemistry; Bioinformatics and Computational Biology; Machine Learning; Artificial Intelligence,2025-10-21T13:20:11.931Z,"[{'title': 'Supporting Information', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f3e00b3e6156d3beb97cd2/original/supporting-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f3daa63e6156d3beb9113c/original/curve-pot-gcn-a-graph-neural-network-to-predict-protein-protein-interactions-using-surface-curvature-and-electrostatic-potential-as-node-features.pdf
10.26434/chemrxiv-2024-r7k45-v4,MTDL-GAN: De novo Design of Multi-Target Directed Ligands for Alzheimer’s Disease from Unpaired Sets of Target-Focused Chemical Library,"BACKGROUND. Alzheimer’s disease (AD), the most common form of dementia, causes memory loss, cognitive decline, and behavioural changes, affecting over 32 million people globally. Current AD treatments that focus on single-target intervention often fail to slow disease progression and may not be effective for all patients. Given AD's complex nature, a more effective approach may involve targeting multiple pathways simultaneously. 
METHODS. This study proposes the use of a cycle-consistent adversarial network to design multi-target directed ligands (MTDL-GAN), drugs designed to inhibit two primary AD target enzymes simultaneously; our targets of interest are acetylcholinesterase (AChE), beta-secretase 1 (BACE1), and glycogen synthase kinase 3 beta (GSK3), each contributing to AD through distinct pathological mechanisms. Inhibitor libraries of the targets were curated from ChEMBL database and further characterised to represent each inhibitor domain, resulting in 69 AChE, 572 BACE1, and 246 GSK3 inhibitors. MTDL-GAN was trained on these unpaired datasets to generate MTDL-like molecules, with all generated molecular structures stored after each training step to construct large \textit{in silico} MTDL libraries. Subsequently, 300 molecules were sampled from each library to evaluate their \textit{in silico} binding affinities using molecular docking simulation. 
RESULTS. The proposed method effectively transformed molecules from the input inhibitor domains into MTDL-like molecules that exhibited dual-target binding affinity and structural novelty; several MTDLs surpassed \textit{in silico} binding affinities of investigational drugs in phase 2 and 3 clinical trials and less than 0.15\% of the generated molecules have Tanimoto similarity greater than 0.85 to the known bioactive molecules in ChEMBL and ExCAPE database.",Theoretical and Computational Chemistry; Biological and Medicinal Chemistry; Computational Chemistry and Modeling; Artificial Intelligence; Chemoinformatics - Computational Chemistry,2025-10-21T09:43:21.925Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f4afa85dd091524f4bd961/original/mtdl-gan-de-novo-design-of-multi-target-directed-ligands-for-alzheimer-s-disease-from-unpaired-sets-of-target-focused-chemical-library.pdf
10.26434/chemrxiv-2025-fx019-v2,Uncertainty Calibration in Molecular Machine Learning: Comparing Evidential and Ensemble Approaches,"Machine learning (ML) models are increasingly used in quantum chemistry, but their reliability hinges on uncertainty quantification (UQ). In this study, we compare two prominent UQ paradigms—Deep Evidential Regression (DER) and Deep Ensembles—on the QM9 and WS22 datasets, with a specific emphasis on the role of post hoc calibration. Raw uncertainties from both methods were systematically miscalibrated: DER produced uncertainty estimates where data noise and model uncertainty were not cleanly separated, while ensembles produced sharper yet underconfident estimates. Applying calibration techniques such as isotonic regression, standard scaling, and GP-Normal corrected these deficiencies, aligning predicted variances with observed errors. On QM9, calibration enabled DER to filter high-confidence predictions more effectively than ensembles. On WS22, calibrated ensembles not only improved statistical reliability but also delivered substantial computational savings in active learning, reducing redundant ab initio evaluations by more than 20%. These results demonstrate that post hoc calibration is essential to transform uncertainty estimates from descriptive metrics into actionable signals, ensuring both trustworthy predictions and resource-efficient molecular modeling.",Theoretical and Computational Chemistry; Computational Chemistry and Modeling; Machine Learning; Artificial Intelligence,2025-10-21T08:50:30.505Z,"[{'title': 'Supporting Information', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f1fb39bc2ac3a0e0805ba3/original/supporting-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f1fb38bc2ac3a0e0805b98/original/uncertainty-calibration-in-molecular-machine-learning-comparing-evidential-and-ensemble-approaches.pdf
10.26434/chemrxiv-2025-1rpf8,The agentic age of predictive chemical kinetics,"Predictive chemical kinetic modeling is foundational to areas ranging from energy and environmental science to pharmaceuticals and advanced materials. While significant progress has been made in automating individual steps, the development of a complete predictive model remains a human-intensive effort to orchestrate existing software tools and revise models. This Perspective outlines a practical path to improved chemical kinetic model development using agentic AI. A dual-lane architecture is introduced: a fast execution lane handles mechanism generation and parameter refinement, while a deliberative agentic lane plans, refines, and revises while executing experiments and computations. The proposed outcome is a robust pathway toward decision-grade models. Humans remain central: researchers set objectives and priors, approve high-impact actions, and adjudicate new chemical insights. Creativity, complex judgment, and strategic thinking remain in the human domain. Ultimately, this approach aims to accelerate trustworthy, transparent, decision-grade model development.",Theoretical and Computational Chemistry; Energy; Chemical Engineering and Industrial Chemistry; Theory - Computational; Artificial Intelligence; Chemoinformatics - Computational Chemistry,2025-10-20T23:38:06.930Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68ef8947bc2ac3a0e0101bed/original/the-agentic-age-of-predictive-chemical-kinetics.pdf
10.26434/chemrxiv-2025-xrj23,Vacancy-Aware Graph Neural Networks for Predicting Oxygen Evolution Reaction Activity in High-Entropy Layered Double Hydroxides,"The progress of efficient electrocatalysts for the oxygen evolution reaction (OER) is crucial for sustainable energy technologies, and high-entropy layered double hydroxides (HE-LDHs) appear to be a great candidate to address this issue. Nonetheless, understanding how the interplay of compositional variety, vacancy engineering, and catalytic activity works together is challenging, as it does not lend itself to conventional machine learning approaches. Therefore, we develop a vacancy-aware graph neural network (VA-GNN) that captures complex material–property relationships exhibited in HE-LDH systems. The model adopts a multi-descriptor framework that contains vacancy-related descriptors and models materials as graphs in which nodes represent metallic elements and a surface-specific node. Material representations include vacancy embeddings in the node and edge descriptors to capture both local and cooperativity between vacancies and the parent metal framework. Ultimately, VA-GNN is trained using a synthetically generated dataset of HE-LDHs and demonstrates better performance than conventional machine learning benchmarks in predicting important OER performance metrics. Additionally, ablation studies and qualitative analyses confirm the importance of vacancy encoding and the surface-specific node representation. This work showcases VA-GNN's potential to accelerate the discovery and design of efficient HE-LDH catalysts using interpretable, vacancy-aware models.",Theoretical and Computational Chemistry; Machine Learning; Artificial Intelligence,2025-10-24T20:04:05.952Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f93c595dd091524fdae0c4/original/vacancy-aware-graph-neural-networks-for-predicting-oxygen-evolution-reaction-activity-in-high-entropy-layered-double-hydroxides.pdf
10.26434/chemrxiv-2025-zjjdc,FAIR-MOFs:A Comprehensive Database for  Accelerating the Discovery and Synthesis of Metal-Organic Frameworks,"Metal-organic frameworks (MOFs) are a versatile class of materials with applications in gas storage, separations, and catalysis. Despite extensive research, one of the key factors hindering their broader deployment is the absence of reproducible and scalable synthetic protocols. To address this, we introduce FAIR-MOFs, a database designed to be Findable, Accessible, Interoperable, and Reusable (FAIR), comprising 45{,}700 curated experimental structures, 33{,}361 geometry-optimised structures, and 4{,}161 entries linked to reported synthesis conditions. Analysis of the dataset showed that the propensity of open-metal sites in MOFs is statistically associated with reaction temperature, metal salts, ligands, topology, and metal secondary building unit. Furthermore, we developed a retrosynthetic recommender that captures literature co-usage patterns among solvents, metal salts, and ligands. For any given component, the system suggests compatible reagents and retrieves MOFs prepared under similar conditions. Finally, we trained a graph-based neural network integrated with our MOF deconstruction module to predict most probable metal salts, ligands and solvents directly from 3D structures of experimental or hypothetical MOFs. Using this model, we successfully synthesised MOFs randomly selected from hypothetical MOF databases illustrating the potential of FAIR-MOFs to accelerate the discovery and enable data-driven synthesis of MOFs.",Theoretical and Computational Chemistry; Materials Science; Hydrogen Storage Materials; Machine Learning; Chemoinformatics - Computational Chemistry; Materials Chemistry,2025-10-24T15:21:12.996Z,"[{'title': 'Electronic Supporting Information ', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68e0285e5dd091524fc2d897/original/electronic-supporting-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68dff580dfd0d042d1d9e0ba/original/fair-mo-fs-a-comprehensive-database-for-accelerating-the-discovery-and-synthesis-of-metal-organic-frameworks.pdf
10.26434/chemrxiv-2025-kzrjn-v2,aims-PAX: Parallel Active eXploration Enables Expedited Construction of Machine Learning Force Fields for Molecules and Materials,"Recent advances in machine learning force fields (MLFF) have significantly extended the reach of atomistic simulations. Continuous progress in this field requires reliable reference datasets, accurate MLFF architectures, and efficient active learning strategies to enable robust modeling of complex molecular and material systems. Here we introduce AIMS - PAX, an expedited, multi-trajectory active learning framework that streamlines the development of stable and accurate MLFFs. Designed for a wide range of researchers, AIMS -PAX offers a modular, high-performance workflow that couples diversified sampling with scalable training across CPU and GPU architectures. Integrated with the widely used ab initio code FHI- AIMS, the framework supports state-of-the-art ML models and dataset generation using general- purpose (or ""foundational"") force-fields for rapid deployment in diverse systems. We demonstrate the capabilities of AIMS -PAX in various challenging tasks: creating datasets and models for highly flexible peptides, multiple organic molecules at once, explicitly solvated molecules, and for efficiently handling computationally demanding systems such as the CsPbI3 perovskite. We show that AIMS -PAX achieves a reduction of up to three orders of magnitude in the number of required reference calculations, automatically selects challenging systems within a given chemical space, facilitates simulation of solvated molecules with more than thousand atoms, while enabling a ten-fold speedup in active- learning time through optimized resource utilization. This positions AIMS -PAX as a powerful and versatile platform for next-generation atomistic simulations in both academic and industrial settings.",Theoretical and Computational Chemistry; Computational Chemistry and Modeling; Machine Learning; Chemoinformatics - Computational Chemistry,2025-10-24T10:30:11.189Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68f8a6ed5dd091524fc793e3/original/aims-pax-parallel-active-e-xploration-enables-expedited-construction-of-machine-learning-force-fields-for-molecules-and-materials.pdf
